epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,547.153,0.14964,0.14093,0.7555,0.96787,0.85168,0.92663,0.70407,0.83702,0.52761,0.95553,0.0005075,0.0005075,0.0005075
62,556.531,0.14351,0.13772,0.75754,0.94547,0.85298,0.92083,0.70159,0.84265,0.54007,0.95912,0.000495125,0.000495125,0.000495125
63,565.804,0.13743,0.13545,0.75556,0.9665,0.84554,0.92062,0.7023,0.82643,0.53275,0.94879,0.00048275,0.00048275,0.00048275
64,575.16,0.1296,0.13265,0.75494,0.96146,0.85443,0.93262,0.70282,0.84146,0.53039,0.95681,0.000470375,0.000470375,0.000470375
65,584.571,0.1288,0.13166,0.7557,0.97685,0.84143,0.92349,0.70663,0.83875,0.5328,0.95419,0.000458,0.000458,0.000458
66,593.691,0.12159,0.12827,0.75487,0.94829,0.85069,0.91798,0.70847,0.83292,0.53484,0.95299,0.000445625,0.000445625,0.000445625
67,602.566,0.12223,0.12813,0.75396,0.95856,0.85202,0.9293,0.71062,0.82917,0.52319,0.95751,0.00043325,0.00043325,0.00043325
68,611.311,0.12289,0.12691,0.75424,0.94286,0.85464,0.92821,0.70545,0.8308,0.52683,0.95402,0.000420875,0.000420875,0.000420875
69,620.046,0.11992,0.12719,0.7555,0.97052,0.85554,0.93107,0.70114,0.83234,0.52322,0.9536,0.0004085,0.0004085,0.0004085
70,628.787,0.1175,0.12346,0.75585,0.96216,0.85344,0.92895,0.70633,0.82828,0.53958,0.95563,0.000396125,0.000396125,0.000396125
71,638.763,0.11737,0.12553,0.75608,0.96423,0.84752,0.92647,0.69816,0.83275,0.53741,0.95612,0.00038375,0.00038375,0.00038375
72,648.422,0.10646,0.11708,0.75502,0.97136,0.84807,0.92645,0.70791,0.83336,0.54168,0.9577,0.000371375,0.000371375,0.000371375
73,658,0.10348,0.11449,0.75418,0.95688,0.84676,0.921,0.70163,0.83243,0.54911,0.95462,0.000359,0.000359,0.000359
